Date,Close/Last,Volume,Open,High,Low
04/08/2025,$78.21,69910230,$86.145,$88.93,$76.48
04/07/2025,$83.64,70515430,$80.68,$89.00,$77.75
04/04/2025,$85.76,65847020,$90.10,$91.08,$83.67
04/03/2025,$93.80,50472540,$97.79,$99.4499,$93.64
04/02/2025,$102.96,20793990,$101.52,$104.185,$100.76
04/01/2025,$102.78,23523230,$102.16,$102.83,$100.93
03/31/2025,$102.74,30865340,$100.235,$102.82,$98.80
03/28/2025,$103.22,31069110,$105.525,$106.51,$102.48
03/27/2025,$106.65,32773710,$106.11,$107.62,$105.5499
03/26/2025,$110.19,39976490,$114.11,$115.8999,$108.68
03/25/2025,$114.81,29077510,$113.265,$114.95,$112.71
03/24/2025,$113.85,53342000,$109.73,$114.85,$109.40
03/21/2025,$106.44,30767940,$105.33,$107.25,$104.33
03/20/2025,$107.14,26871840,$105.12,$108.26,$105.12
03/19/2025,$106.23,32287500,$104.42,$107.90,$101.96
03/18/2025,$103.51,27152830,$103.85,$104.55,$102.97
03/17/2025,$104.59,43689520,$102.60,$106.15,$102.60
03/14/2025,$100.97,24715270,$99.64,$101.22,$99.58
03/13/2025,$98.11,28575150,$99.715,$100.07,$97.27
03/12/2025,$100.79,34241290,$99.045,$101.715,$98.17
03/11/2025,$96.76,34078300,$96.79,$98.1599,$94.73
03/10/2025,$96.63,38733190,$98.57,$101.29,$95.83
03/07/2025,$100.31,33254370,$98.88,$100.65,$96.39
03/06/2025,$98.85,28984980,$99.05,$101.08,$98.27
03/05/2025,$101.67,27855490,$100.36,$101.84,$98.87
03/04/2025,$100.75,54156940,$96.00,$103.18,$95.89
03/03/2025,$98.23,38957990,$101.515,$102.34,$97.09
02/28/2025,$99.86,45194580,$99.56,$101.80,$98.69
02/27/2025,$99.51,47263730,$105.08,$105.76,$99.50
02/26/2025,$104.74,29178210,$104.945,$105.7999,$103.99
02/25/2025,$103.96,39169160,$107.885,$108.64,$103.62
02/24/2025,$108.11,29072210,$111.49,$111.60,$107.98
02/21/2025,$110.84,41353680,$114.845,$115.76,$110.43
02/20/2025,$114.17,27219570,$115.01,$116.55,$113.105
02/19/2025,$114.69,28807710,$114.245,$116.11,$113.14
02/18/2025,$114.28,31720310,$114.05,$115.55,$113.45
02/14/2025,$113.10,32477160,$112.65,$114.63,$111.70
02/13/2025,$111.81,40911800,$112.00,$114.60,$110.40
02/12/2025,$111.72,25319730,$109.52,$111.8356,$109.0649
02/11/2025,$111.10,35033760,$108.98,$113.07,$108.94
02/10/2025,$110.48,34905360,$108.44,$111.40,$108.15
02/07/2025,$107.56,46082500,$109.13,$109.92,$106.79
02/06/2025,$110.16,50426590,$110.93,$112.56,$109.02
02/05/2025,$112.01,110609300,$107.61,$112.09,$106.50
02/04/2025,$119.50,69412090,$115.45,$119.85,$114.79
02/03/2025,$114.27,34586050,$113.875,$115.16,$112.98
01/31/2025,$115.95,40533570,$119.14,$119.565,$115.33
01/30/2025,$118.86,29788380,$118.53,$120.44,$117.09
01/29/2025,$117.35,40199050,$115.77,$118.52,$114.96
01/28/2025,$114.17,40554760,$115.175,$116.15,$112.95
01/27/2025,$115.01,61067890,$117.80,$118.08,$112.80
01/24/2025,$122.84,31570300,$124.55,$125.25,$122.23
01/23/2025,$123.04,24921110,$121.425,$123.71,$120.63
01/22/2025,$123.75,35023840,$123.08,$125.65,$121.912
01/21/2025,$122.28,31578830,$122.39,$123.75,$121.1201
01/17/2025,$121.46,35765920,$120.78,$122.74,$120.55
01/16/2025,$118.44,29414130,$120.24,$121.09,$118.25
01/15/2025,$119.96,38185820,$117.55,$120.42,$117.46
01/14/2025,$116.09,37005280,$118.00,$118.66,$114.50
01/13/2025,$117.32,39128900,$115.28,$117.48,$114.41
01/10/2025,$116.04,59415610,$118.18,$118.71,$114.4501
01/08/2025,$121.84,46723140,$124.51,$125.30,$120.1201
01/07/2025,$127.33,39220410,$130.51,$131.71,$126.8537
01/06/2025,$129.55,48020190,$129.07,$130.73,$127.36
01/03/2025,$125.37,36785300,$121.65,$125.56,$121.42
01/02/2025,$120.63,34256180,$122.29,$123.14,$119.44
12/31/2024,$120.79,30203430,$123.10,$123.55,$120.138
12/30/2024,$122.44,30501640,$123.562,$124.10,$122.35
12/27/2024,$125.19,32924010,$124.37,$126.18,$122.26
12/26/2024,$125.06,25139140,$125.52,$127.2999,$125.05
12/24/2024,$126.29,24829560,$127.51,$127.51,$124.66
12/23/2024,$124.60,47777900,$120.71,$126.3387,$120.47
12/20/2024,$119.21,53591210,$118.00,$121.86,$117.90
12/19/2024,$118.88,46160670,$122.16,$123.38,$118.45
12/18/2024,$121.41,49724440,$125.43,$127.75,$120.43
12/17/2024,$125.02,43314940,$124.45,$127.08,$123.15
12/16/2024,$126.69,42090280,$126.01,$127.76,$123.12
12/13/2024,$126.91,67544740,$131.30,$131.30,$124.77
12/12/2024,$130.60,34267090,$130.00,$132.32,$129.07
12/11/2024,$130.15,45588140,$128.52,$131.21,$126.2201
12/10/2024,$127.74,38907200,$131.56,$131.56,$127.07
12/09/2024,$130.87,57055560,$135.71,$135.77,$130.00
12/06/2024,$138.59,33576840,$141.48,$142.7852,$137.40
12/05/2024,$141.36,29576930,$143.68,$143.95,$140.38
12/04/2024,$143.99,25942650,$142.96,$144.12,$141.18
12/03/2024,$141.98,22665350,$142.58,$143.4495,$141.0801
12/02/2024,$142.06,33102440,$137.915,$142.82,$137.80
